G2longitude,G2latitude,G2year,G2month,G2depth,G2tco2,Ocean_Region
31.543,81.575,1987.0,7.0,15.0,2058.0,Pacific
31.543,81.575,1987.0,7.0,50.0,2092.0,Pacific
31.543,81.575,1987.0,7.0,69.0,2108.0,Pacific
31.543,81.575,1987.0,7.0,89.0,2111.0,Pacific
31.543,81.575,1987.0,7.0,148.0,2107.0,Pacific
31.543,81.575,1987.0,7.0,227.0,2110.0,Pacific
31.543,81.575,1987.0,7.0,336.0,2116.0,Pacific
31.543,81.575,1987.0,7.0,395.0,2120.0,Pacific
31.543,81.575,1987.0,7.0,455.0,2115.0,Pacific
31.543,81.575,1987.0,7.0,534.0,2120.0,Pacific
31.543,81.575,1987.0,7.0,711.0,2136.0,Pacific
31.543,81.575,1987.0,7.0,849.0,2134.0,Pacific
31.543,81.575,1987.0,7.0,898.0,2135.0,Pacific
31.502,81.645,1987.0,7.0,74.0,2124.0,Pacific
31.502,81.645,1987.0,7.0,84.0,2125.0,Pacific
31.502,81.645,1987.0,7.0,93.0,2126.0,Pacific
31.502,81.645,1987.0,7.0,287.0,2139.0,Pacific
31.502,81.645,1987.0,7.0,938.0,2153.0,Pacific
31.502,81.645,1987.0,7.0,1035.0,2151.0,Pacific
31.502,81.645,1987.0,7.0,1235.0,2152.0,Pacific
31.502,81.645,1987.0,7.0,1430.0,2153.0,Pacific
31.502,81.645,1987.0,7.0,1578.0,2154.0,Pacific
31.502,81.645,1987.0,7.0,1734.0,2155.0,Pacific
31.502,81.645,1987.0,7.0,1832.0,2158.0,Pacific
31.502,81.645,1987.0,7.0,1878.0,2145.0,Pacific
30.998,81.683,1987.0,7.0,10.0,2071.0,Pacific
30.998,81.683,1987.0,7.0,30.0,2077.0,Pacific
30.998,81.683,1987.0,7.0,40.0,2089.0,Pacific
30.998,81.683,1987.0,7.0,50.0,2109.0,Pacific
30.998,81.683,1987.0,7.0,59.0,2110.0,Pacific
30.998,81.683,1987.0,7.0,69.0,2122.0,Pacific
30.998,81.683,1987.0,7.0,79.0,2120.0,Pacific
30.998,81.683,1987.0,7.0,89.0,2124.0,Pacific
30.998,81.683,1987.0,7.0,99.0,2127.0,Pacific
30.998,81.683,1987.0,7.0,119.0,2130.0,Pacific
30.998,81.683,1987.0,7.0,138.0,2131.0,Pacific
30.998,81.683,1987.0,7.0,167.0,2132.0,Pacific
30.998,81.683,1987.0,7.0,197.0,2128.0,Pacific
30.998,81.683,1987.0,7.0,226.0,2134.0,Pacific
30.998,81.683,1987.0,7.0,256.0,2137.0,Pacific
30.998,81.683,1987.0,7.0,297.0,2142.0,Pacific
30.998,81.683,1987.0,7.0,335.0,2139.0,Pacific
30.998,81.683,1987.0,7.0,375.0,2142.0,Pacific
30.998,81.683,1987.0,7.0,425.0,2138.0,Pacific
30.998,81.683,1987.0,7.0,474.0,2144.0,Pacific
30.998,81.683,1987.0,7.0,524.0,2147.0,Pacific
30.998,81.683,1987.0,7.0,573.0,2143.0,Pacific
30.998,81.683,1987.0,7.0,622.0,2152.0,Pacific
30.998,81.683,1987.0,7.0,694.0,2152.0,Pacific
30.998,81.683,1987.0,7.0,745.0,2141.0,Pacific
30.998,81.683,1987.0,7.0,852.0,2151.0,Pacific
30.998,81.683,1987.0,7.0,939.0,2149.0,Pacific
30.998,81.683,1987.0,7.0,1036.0,2150.0,Pacific
30.998,81.683,1987.0,7.0,1136.0,2148.0,Pacific
30.998,81.683,1987.0,7.0,1283.0,2153.0,Pacific
30.998,81.683,1987.0,7.0,1431.0,2147.0,Pacific
30.998,81.683,1987.0,7.0,1577.0,2150.0,Pacific
30.998,81.683,1987.0,7.0,1774.0,2151.0,Pacific
30.998,81.683,1987.0,7.0,1872.0,2153.0,Pacific
30.998,81.683,1987.0,7.0,1970.0,2150.0,Pacific
30.998,81.683,1987.0,7.0,2089.0,2153.0,Pacific
30.998,81.683,1987.0,7.0,2204.0,2153.0,Pacific
30.998,81.683,1987.0,7.0,2333.0,2151.0,Pacific
30.998,81.683,1987.0,7.0,2445.0,2152.0,Pacific
30.998,81.683,1987.0,7.0,2535.0,2152.0,Pacific
30.998,81.683,1987.0,7.0,2577.0,2155.0,Pacific
31.585,81.82,1987.0,7.0,10.0,2077.0,Pacific
31.585,81.82,1987.0,7.0,30.0,2079.0,Pacific
31.585,81.82,1987.0,7.0,40.0,2091.0,Pacific
31.585,81.82,1987.0,7.0,50.0,2093.0,Pacific
31.585,81.82,1987.0,7.0,59.0,2103.0,Pacific
31.585,81.82,1987.0,7.0,70.0,2105.0,Pacific
31.585,81.82,1987.0,7.0,79.0,2113.0,Pacific
31.585,81.82,1987.0,7.0,89.0,2122.0,Pacific
31.585,81.82,1987.0,7.0,99.0,2121.0,Pacific
31.585,81.82,1987.0,7.0,118.0,2122.0,Pacific
31.585,81.82,1987.0,7.0,138.0,2128.0,Pacific
31.585,81.82,1987.0,7.0,169.0,2131.0,Pacific
31.585,81.82,1987.0,7.0,199.0,2137.0,Pacific
31.585,81.82,1987.0,7.0,227.0,2138.0,Pacific
31.585,81.82,1987.0,7.0,257.0,2138.0,Pacific
31.585,81.82,1987.0,7.0,298.0,2143.0,Pacific
31.585,81.82,1987.0,7.0,337.0,2141.0,Pacific
31.585,81.82,1987.0,7.0,376.0,2142.0,Pacific
31.585,81.82,1987.0,7.0,425.0,2143.0,Pacific
31.585,81.82,1987.0,7.0,473.0,2143.0,Pacific
31.585,81.82,1987.0,7.0,524.0,2143.0,Pacific
31.585,81.82,1987.0,7.0,573.0,2136.0,Pacific
31.585,81.82,1987.0,7.0,622.0,2143.0,Pacific
31.585,81.82,1987.0,7.0,693.0,2144.0,Pacific
31.585,81.82,1987.0,7.0,741.0,2146.0,Pacific
31.585,81.82,1987.0,7.0,839.0,2150.0,Pacific
31.585,81.82,1987.0,7.0,938.0,2152.0,Pacific
31.585,81.82,1987.0,7.0,1036.0,2150.0,Pacific
31.585,81.82,1987.0,7.0,1135.0,2153.0,Pacific
31.585,81.82,1987.0,7.0,1282.0,2154.0,Pacific
31.585,81.82,1987.0,7.0,1430.0,2155.0,Pacific
31.585,81.82,1987.0,7.0,1577.0,2156.0,Pacific
31.585,81.82,1987.0,7.0,1724.0,2155.0,Pacific
31.585,81.82,1987.0,7.0,1871.0,2158.0,Pacific
31.585,81.82,1987.0,7.0,2018.0,2148.0,Pacific
31.585,81.82,1987.0,7.0,2165.0,2150.0,Pacific
31.585,81.82,1987.0,7.0,2312.0,2152.0,Pacific
31.585,81.82,1987.0,7.0,2459.0,2156.0,Pacific
31.585,81.82,1987.0,7.0,2630.0,2148.0,Pacific
31.585,81.82,1987.0,7.0,2802.0,2148.0,Pacific
31.585,81.82,1987.0,7.0,2898.0,2148.0,Pacific
31.585,81.82,1987.0,7.0,2948.0,2148.0,Pacific
32.037,82.09,1987.0,7.0,10.0,2086.0,Pacific
32.037,82.09,1987.0,7.0,29.0,2086.0,Pacific
32.037,82.09,1987.0,7.0,50.0,2099.0,Pacific
32.037,82.09,1987.0,7.0,65.0,2099.0,Pacific
32.037,82.09,1987.0,7.0,80.0,2108.0,Pacific
32.037,82.09,1987.0,7.0,94.0,2108.0,Pacific
32.037,82.09,1987.0,7.0,109.0,2115.0,Pacific
32.037,82.09,1987.0,7.0,124.0,2121.0,Pacific
32.037,82.09,1987.0,7.0,138.0,2130.0,Pacific
32.037,82.09,1987.0,7.0,153.0,2134.0,Pacific
32.037,82.09,1987.0,7.0,169.0,2136.0,Pacific
32.037,82.09,1987.0,7.0,189.0,2138.0,Pacific
32.037,82.09,1987.0,7.0,218.0,2140.0,Pacific
32.037,82.09,1987.0,7.0,247.0,2138.0,Pacific
32.037,82.09,1987.0,7.0,297.0,2141.0,Pacific
32.037,82.09,1987.0,7.0,346.0,2140.0,Pacific
32.037,82.09,1987.0,7.0,447.0,2141.0,Pacific
32.037,82.09,1987.0,7.0,544.0,2146.0,Pacific
32.037,82.09,1987.0,7.0,645.0,2150.0,Pacific
32.037,82.09,1987.0,7.0,691.0,2148.0,Pacific
32.037,82.09,1987.0,7.0,740.0,2154.0,Pacific
32.037,82.09,1987.0,7.0,791.0,2152.0,Pacific
32.037,82.09,1987.0,7.0,889.0,2154.0,Pacific
32.037,82.09,1987.0,7.0,990.0,2151.0,Pacific
32.037,82.09,1987.0,7.0,1135.0,2151.0,Pacific
32.037,82.09,1987.0,7.0,1285.0,2156.0,Pacific
32.037,82.09,1987.0,7.0,1432.0,2147.0,Pacific
32.037,82.09,1987.0,7.0,1578.0,2151.0,Pacific
32.037,82.09,1987.0,7.0,1701.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,1823.0,2156.0,Pacific
32.037,82.09,1987.0,7.0,1921.0,2156.0,Pacific
32.037,82.09,1987.0,7.0,2019.0,2154.0,Pacific
32.037,82.09,1987.0,7.0,2116.0,2149.0,Pacific
32.037,82.09,1987.0,7.0,2214.0,2148.0,Pacific
32.037,82.09,1987.0,7.0,2313.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,2410.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,2532.0,2150.0,Pacific
32.037,82.09,1987.0,7.0,2630.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,2727.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,2862.0,2155.0,Pacific
32.037,82.09,1987.0,7.0,2957.0,2157.0,Pacific
32.037,82.09,1987.0,7.0,3006.0,2156.0,Pacific
31.982,82.988,1987.0,7.0,10.0,2070.0,Pacific
31.982,82.988,1987.0,7.0,30.0,2082.0,Pacific
31.982,82.988,1987.0,7.0,50.0,2084.0,Pacific
31.982,82.988,1987.0,7.0,64.0,2095.0,Pacific
31.982,82.988,1987.0,7.0,80.0,2106.0,Pacific
31.982,82.988,1987.0,7.0,93.0,2113.0,Pacific
31.982,82.988,1987.0,7.0,108.0,2124.0,Pacific
31.982,82.988,1987.0,7.0,123.0,2128.0,Pacific
31.982,82.988,1987.0,7.0,138.0,2130.0,Pacific
31.982,82.988,1987.0,7.0,152.0,2129.0,Pacific
31.982,82.988,1987.0,7.0,167.0,2129.0,Pacific
31.982,82.988,1987.0,7.0,188.0,2135.0,Pacific
31.982,82.988,1987.0,7.0,218.0,2134.0,Pacific
31.982,82.988,1987.0,7.0,246.0,2134.0,Pacific
31.982,82.988,1987.0,7.0,592.0,2142.0,Pacific
31.982,82.988,1987.0,7.0,691.0,2138.0,Pacific
31.982,82.988,1987.0,7.0,789.0,2138.0,Pacific
31.982,82.988,1987.0,7.0,1085.0,2152.0,Pacific
31.982,82.988,1987.0,7.0,1234.0,2153.0,Pacific
31.982,82.988,1987.0,7.0,1528.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,1675.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,1822.0,2151.0,Pacific
31.982,82.988,1987.0,7.0,1969.0,2153.0,Pacific
31.982,82.988,1987.0,7.0,2116.0,2152.0,Pacific
31.982,82.988,1987.0,7.0,2264.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,2411.0,2157.0,Pacific
31.982,82.988,1987.0,7.0,2557.0,2154.0,Pacific
31.982,82.988,1987.0,7.0,2703.0,2153.0,Pacific
31.982,82.988,1987.0,7.0,2850.0,2151.0,Pacific
31.982,82.988,1987.0,7.0,2997.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,3143.0,2148.0,Pacific
31.982,82.988,1987.0,7.0,3289.0,2153.0,Pacific
31.982,82.988,1987.0,7.0,3435.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,3579.0,2153.0,Pacific
31.982,82.988,1987.0,7.0,3677.0,2155.0,Pacific
31.982,82.988,1987.0,7.0,3728.0,2157.0,Pacific
30.502,84.025,1987.0,7.0,20.0,2081.0,Pacific
30.502,84.025,1987.0,7.0,45.0,2088.0,Pacific
30.502,84.025,1987.0,7.0,89.0,2087.0,Pacific
30.502,84.025,1987.0,7.0,109.0,2098.0,Pacific
30.502,84.025,1987.0,7.0,124.0,2097.0,Pacific
30.502,84.025,1987.0,7.0,138.0,2109.0,Pacific
30.502,84.025,1987.0,7.0,152.0,2119.0,Pacific
30.502,84.025,1987.0,7.0,168.0,2128.0,Pacific
30.502,84.025,1987.0,7.0,188.0,2134.0,Pacific
30.502,84.025,1987.0,7.0,218.0,2137.0,Pacific
30.502,84.025,1987.0,7.0,246.0,2136.0,Pacific
30.502,84.025,1987.0,7.0,296.0,2132.0,Pacific
30.502,84.025,1987.0,7.0,345.0,2143.0,Pacific
30.502,84.025,1987.0,7.0,395.0,2146.0,Pacific
30.502,84.025,1987.0,7.0,493.0,2145.0,Pacific
30.502,84.025,1987.0,7.0,592.0,2151.0,Pacific
30.502,84.025,1987.0,7.0,691.0,2152.0,Pacific
30.502,84.025,1987.0,7.0,789.0,2152.0,Pacific
30.502,84.025,1987.0,7.0,913.0,2157.0,Pacific
30.502,84.025,1987.0,7.0,1085.0,2153.0,Pacific
30.502,84.025,1987.0,7.0,1231.0,2154.0,Pacific
30.502,84.025,1987.0,7.0,1379.0,2153.0,Pacific
30.502,84.025,1987.0,7.0,1577.0,2149.0,Pacific
30.502,84.025,1987.0,7.0,1919.0,2148.0,Pacific
